"","year","data","what","model_id","fmodel","qmodel","rmodel","stock"
"1",1963,260057.683822949,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"2",1964,254534.674750595,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"3",1965,254568.765935169,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"4",1966,235487.006688354,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"5",1967,185920.976724453,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"6",1968,132140.457050728,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"7",1969,110477.007468796,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"8",1970,83198.7769523372,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"9",1971,57434.8780443458,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"10",1972,43561.9199479766,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"11",1973,35780.7048805602,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"12",1974,35891.2677625218,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"13",1975,41519.5161668952,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"14",1976,51314.8993882337,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"15",1977,64122.8436728704,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"16",1978,83248.4424525513,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"17",1979,84785.2379214465,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"18",1980,77202.9992752819,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"19",1981,74655.2896224872,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"20",1982,64113.7384964896,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"21",1983,51955.1086498169,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"22",1984,39798.0335531261,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"23",1985,33686.4402845336,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"24",1986,32737.9050937876,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
"25",1987,32790.3496521004,"ssb",1,"fmodel1","qmodel1","rmodel1","stk"
